,rank
73618,0.3246778064534045
9595,0.29572047975753624
53464,0.3272399588166641
3914,0.3299477747822453
23444,0.3268838875629572
2322,0.46819121621203186
4875,0.4810859465236079
40391,0.48814437233607477
53126,0.48460917626208455
56748,0.45720127887480216
37685,0.3423773516171738
36281,0.3578041185040854
19949,0.3566321793756949
67061,0.35889396358027087
76303,0.3561106752421438
115802,0.3593760595349908
116824,0.3542407966874067
30152,0.5881544333665527
80594,0.380232067182154
143076,0.4121465830281147
1468,0.38962305608619474
13398,0.3340330904688407
35009,0.41881855678764457
111065,0.3280232820156782
132891,0.41446514403288937
115748,0.33830403003692416
37277,0.324167155955079
132716,0.32883241635935767
4878,0.48307822501551684
68676,0.35447540851731413
14518,0.3954854295698843
140179,0.3824423220618435
161269,0.3684225913825146
11993,0.20635179618589505
17024,0.4108288753974705
30180,0.4086737990669759
115772,0.40687484171072624
104732,0.4145013060440387
17230,0.41022124699129925
20397,0.40904433037708054
124981,0.33412353356466795
125147,0.33412353356466795
151243,0.3358704162698771
125144,0.3306377165769594
125618,0.33699855290288916
188880,0.4112394699110539
33032,0.518704217565325
110920,0.4836098949751392
27499,0.4946596595592149
12313,0.4966415737367993
47521,0.48137762840492015
54475,0.42723777406980107
102548,0.324573925624808
3440,0.31534123018715
130842,0.32819486339171233
96642,0.3222984119599946
188868,0.409806073979238
188869,0.409806073979238
27009,0.43802769450122436
116628,0.42040863264431394
88505,0.415856101584852
30236,0.39995439832237045
54574,0.41152950745425254
7496,0.3741042079062616
21374,0.36418623972465963
16144,0.3735572240066399
59042,0.3046873785216927
152033,0.26645519597803835
6064,0.28065709742975803
10208,0.3904094807959952
34854,0.3819767258155872
135922,0.3624323794902413
94673,0.36815407344090156
64776,0.28844170600677344
31190,0.4936562333784416
31315,0.48489792502342666
33456,0.504692740878831
12747,0.5017558969753171
15152,0.4776178589671209
1001,0.4544141531936529
10293,0.3614790694555116
21375,0.3581146988952715
130709,0.35369224720629266
8968,0.3301782578470085
34270,0.34780303355141506
25905,0.3624857583539098
147163,0.361934052735948
90455,0.36755512895787407
109880,0.3634300594152691
9555,0.3575390453171636
155079,0.3600014802219391
1983,0.28298976103261336
160037,0.29842765984664227
146423,0.2809212563050723
149248,0.3430829486332088
88405,0.4461448470926818
99767,0.43839760043559023
59852,0.4275566409397892
18923,0.427999002790762
110507,0.4073286230150101
23771,0.38982689221086675
14222,0.3485664603055941
22438,0.31367537854735644
43388,0.2552600129207687
37079,0.25912844779076777
102277,0.2609866858912062
64792,0.22204334190663252
90663,0.42432611857799624
72492,0.3990074913100948
103703,0.40922556373301433
103745,0.37961194613836147
103696,0.3773669902087852
107372,0.39003725784573956
105720,0.34571078918296144
93556,0.36738997628428677
111913,0.3570004928584638
95880,0.3466886733091392
149363,0.3509657631151273
30337,0.3341371719168693
48055,0.3351112522557974
101861,0.3386979020077489
109521,0.32745185759837836
101862,0.36083334050020854
95359,0.42751050206741203
31630,0.43298059504717235
2005,0.4165010910922143
107161,0.4474531083573942
14122,0.4514539282724413
12770,0.4170239562902125
110741,0.39813966282467306
2891,0.40308894290237557
132337,0.3790202885438111
32788,0.2921923977132488
110743,0.34317174545695184
145036,0.36730184654665005
124085,0.3537753936900489
116730,0.34905128175784517
116731,0.3507363348966285
119871,0.3433175192801982
119872,0.3554017832523755
117085,0.2926563964345189
82296,0.28265845144688895
132768,0.28038107960447367
132767,0.3079389892760629
132634,0.27580135492463737
132633,0.28169212159062096
147127,0.2876483557028725
25475,0.3766342568453901
12511,0.3922922962753833
29500,0.4011068403827471
69244,0.40378737527455505
95403,0.40602469124179574
41845,0.40834234878946624
3088,0.43056352658420605
52047,0.4318566692779862
36673,0.41980101312546503
1599,0.42862424111008696
23486,0.4339410482618409
13616,0.3264323806336923
33509,0.4468208932719749
26818,0.47595251839593067
36035,0.49618069283263055
3159,0.4639838186414676
29981,0.420183076778274
32516,0.42924443151474884
24490,0.37366380210201855
188970,0.4192386681703487
188971,0.4192386681703487
121859,0.3270137599835485
10226,0.3326948000535853
127992,0.3338545504135167
27095,0.3575231813021172
150050,0.32783988783450824
30554,0.3359513375275694
39855,0.35135576541393865
61809,0.3631122954382313
11202,0.3501463323975382
6017,0.3530174651835083
7940,0.3589798559427734
8155,0.25766743086058874
8709,0.24531939671702585
8732,0.24531939671702585
28345,0.25766743086058874
21105,0.24971874859570498
21106,0.23758129018257132
7153,0.242092141218107
13345,0.434830778914595
30772,0.43643726561782425
52183,0.42990867479775446
29425,0.4205986462527676
34417,0.4299953364722703
173666,0.23549592853347157
26477,0.3470366506551017
34684,0.35174174909983486
27245,0.34134979535693544
34682,0.35087172401881117
16703,0.3487791893371472
3596,0.34567126728692854
12941,0.36810643492825934
20676,0.3636478727338343
3011,0.4032292911701233
20216,0.3554551290659165
7225,0.3476541545346275
32814,0.37700526138470236
26429,0.37621398645056353
81697,0.38020473616770706
885,0.38958715496182106
43301,0.37205100791831364
56756,0.32812300408949874
16109,0.37213025478181866
97590,0.3389226283737402
97589,0.31158462672976384
97591,0.35988312109016135
126604,0.41680898673667355
113352,0.3576641976476659
113357,0.4095065787873101
39596,0.42109518833486903
62176,0.3280407217932657
122171,0.34446979181957066
20640,0.36230841870219876
2595,0.32310778888666175
110092,0.3262980931002231
115888,0.3355587144070632
44853,0.33929069901909764
60513,0.3267434045651346
98446,0.3383459431176816
114807,0.32693296689294604
91970,0.30298248133701416
127187,0.3299070591148256
15664,0.39868222840746126
18112,0.3481359733886595
126341,0.3722701486375467
122433,0.35505997484004465
